artist_name,track_name,track_uri,acousticness,danceability,energy,valence,instrumentalness,key,mode,liveness,speechiness,time_signature,tempo,loudness,lyrics
Pablo Abraira,mas,1XJpaSQcpnlGE7NJOVMgRQ,0.496,0.514,0.426,0.26,0.0,5.0,1.0,0.363,0.0268,4.0,136.503,-7.865,puede seguir muere verme junto ojos igual mar lluvia dentro olor sal lgrimas blancas resbalan piel llorando querer quiere creer miedo hecho sufrir dolor corazn negaron perdn suelta penas manos llenas rompe cadenas vente conmigo conmigo hecho empezar mata pasado vuelve lado vamos echar volar ven casa arde brasa ojos igual mar verdes llenos amarga soledad lgrimas blancas dolor llorando hablar lgrimas blancas nadie alrededor llorando amor
Etro Anime,summer rain,6fw8F4pguZmoLfmr48yxkz,0.097,0.679,0.7240000000000001,0.685,1.98e-06,1.0,1.0,0.373,0.0337,4.0,128.966,-8.262,walk faith tree gray light blue haze walk faith wind pale cutting day summer rain soak yeah complain leave blame feel strangely drawing picture conversation slowly sketch word walk faith leave lonely lover calm replace road heartbreak walk faith love touch hear taste grace fall cloud sun live hide shade
Baha Men,double lovin',4V7Ys3wYS0ioMsXSV0OECt,0.0541,0.6729999999999999,0.939,0.762,0.0,5.0,1.0,0.586,0.0576,4.0,106.989,-5.655,gon double lovin double fun price time woman true gon double baby hold gon lovin gon love beg double double lovin gon gon receive double pleasure time double double lovin feel double lovin gon satisfied gon double huggin kissin double stroke lovin afraid love win hurt step baby rest easily gon double lovin double fun price gon double lovin double fun price
Bethany Dillon,the way i come to you,7oMAAO4B4M2158ruytvVRP,0.411,0.272,0.364,0.297,0.0,0.0,1.0,0.0729,0.0298,3.0,158.149,-8.672,day night breathe blood flow god life love enemy choose drank cup punishment shame garden tomb change crush burden word hang air blood child forgave love enemy choose drank cup punishment shame garden tomb change jesus perfect suffer jesus merciful priest weakness god mighty foolishness love save drank cup punishment shame garden tomb change change
Bell X1,trampoline,4L05n1W9jOmqUh9gIZRPKq,0.0113,0.499,0.7659999999999999,0.208,2.18e-05,7.0,1.0,0.379,0.0341,4.0,140.819,-7.82,mix project screen blue tack foot lightly wake dream reflect roof shimmer tree road body leave soul hold tight oblivion scream strong dig head break heart perfection unravel maul trampoline tear landing hard airborne press green play dial tone dodge crack hex paint black start feel tremor faith scale
Einsteinbarbie,cool like that,4WCvY6jDc3vShPsShpo4QG,0.00156,0.598,0.8140000000000001,0.725,0.287,7.0,1.0,0.129,0.0338,4.0,97.046,-5.171,cool tre cuatro cool cool cool cool ice cream summer day water neck sound rock glass sunglass jazz champagne morning sun movie scene mister bond sound heart beat fast slip dress freeze baby tease ease ease breeze sweet honey bee kitty cat cool cool cool cool cool cool cool cool frosted smile freeze kiss hmmmm lick lip chocolate vanilla chilla freeze baby tease ease ease breeze sweet honey bee kitty kitty cat meow cool cool cool cool cool cool cool cool freeze freeze freeze baby frosty baby baby freeze chocolate vanilla chilla ice cool kiss lama pyjama beachy bahamas whisker aaaaaaaaaaaaaaaaaaaaaaaaaaaah cool cool cool cool cool cool cool cool cool cool cool cool cool cool ola papi wan licky icecream aqua chocolata whisker kitty cat kitty kitty cool coooooool
Fefe Dobson,hole,4dHM3M7oBODDjluPZmJuds,0.000207,0.442,0.95,0.403,0.0,4.0,1.0,0.115,0.0596,4.0,127.983,-2.984,fake smile rain fall watch color drown alright sparkle dark night love lead dig hole save wrong matter sunlight fade hold hand launch stand land wan shake dig hole baby crazy heart breakin
Brian McKnight,the first noel,2uO4ccxEJVBVhBHocO7oKD,0.18600000000000005,0.463,0.35700000000000004,0.345,0.0,5.0,1.0,0.0911,0.0466,4.0,75.247,-10.613,noel angel poor shepard field lay field lay lie sheep cold winter night bleek noel noel noel noel bear king israel celebrate birthday lord win true meaning ignore life noel noel noel noel bear king israel
David Archuleta,stomping the roses,2V78GOx2LKUTlED8qDUCUn,0.00363,0.6409999999999999,0.862,0.708,1.4499999999999993e-05,1.0,1.0,0.141,0.0268,4.0,121.97,-4.509,waste time mindless watch charade occur age carry carry carry feel stomp rose smash feeling bad business stomp rose flip channel television feel unwell complicate soap opera feel watch carry carry carry feel stomp rose smash feeling bad business stomp rose token nice guy rule live stomp rose smash feeling bad business stomp rose stomp rose smash feeling bad business stomp rose stomp stomp yeah easy yeah
Buika,arboles de agua,5Gic3ql02UnZwKbF6GSpwL,0.764,0.777,0.397,0.514,0.000525,2.0,1.0,0.359,0.046,3.0,108.396,-12.582,rboles agua rã lloran lagrimas lluvia imploran tierra bebe beso diste camino blanco lleva casa sigue tan nadie pasa tan algãºn niã perdido jugando extraã caricias cambiaron vida ausencia domina pensamiento noche baila mente recuerdo madrugada soã ndote volverã maã ana dicho luna vez vieron ibas mano caballero condenada luna seguro mentã tãº ere mã viento pasa agua llega rbol muere rã seca seguirã esperando sola desierto quiero caricias cambiaron vida ausencia domina pensamiento noche baila mente recuerdo madrugada soã ando volverã maã ana soã ando volverã maã ana rboles agua rã lloran
Eels,there i said it,2TTvpy6uLywCVjyVlzTwB4,0.976,0.458,0.029,0.151,0.000269,9.0,1.0,0.08800000000000001,0.0499,4.0,115.827,-19.351,day dream lose fear life lucky friend love story love story life depend yeah love word throw lot time love life waitin bend yeah
Future Brown,dangerzone,3hVcU2Gf0EFwfqXTGQOlkB,0.3720000000000001,0.67,0.388,0.162,0.00587,6.0,0.0,0.12,0.0391,4.0,95.061,-11.672,livin garden swimin unfamiliar diving heart ooooh drug quit bout blood blood dangerzone save dangerzone rescue danger zone
Bloodbath,eaten - live,1Kxz1jX6j3u9wozBMQfDsg,0.000421,0.175,0.88,0.0753,0.8320000000000001,5.0,1.0,0.426,0.0768,4.0,80.291,-7.8039999999999985,desire bear body rip tear flesh devour eye volunteer human sacrifice chorus carve slice suck gut lick heart chop hurt drink marrow blood dessert eaten desire eat live dying feel pain eat eat desire eat finally personal slaughter appetizer taste daughter sick purpose feed desecrate tear limb limb eviscerate chew death
