id,title,song_count,slug
8832,"The Marmalade",1,the-marmalade
8833,"The Mavericks",1,the-mavericks
8834,"The Mccoys",1,the-mccoys
8835,"The Men They Couldt Hang",11,the-men-they-couldt-hang
8836,"The Michael Zager Band",1,the-michael-zager-band
8837,"The Mighty Mighty Bosstones",1,the-mighty-mighty-bosstones
8838,"The Mission",1,the-mission
8839,"The Mixtures",1,the-mixtures
8840,"The Moffats",1,the-moffats
8841,"The Moffatts",5,the-moffatts
8842,"The Moody Blues",3,the-moody-blues
8843,"The Motors",1,the-motors
8844,"The Move",1,the-move
8845,"The Neville Brothers",1,the-neville-brothers
8846,"The New Seekers",2,the-new-seekers
8847,"The Newmakers",1,the-newmakers
8848,"The Nits",2,the-nits
8849,"The Offspring",10,the-offspring
8850,"The Orange County Supertones",2,the-orange-county-supertones
8851,"The Osmonds",1,the-osmonds
8852,"The Other Ones",2,the-other-ones
8853,"The Outfield",1,the-outfield
8854,"The Pasadenas",1,the-pasadenas
8855,"The Patrigue Family",1,the-patrigue-family
8856,"The Paul Butterfield Blues Band",1,the-paul-butterfield-blues-band
8857,"The Phantom Of The Opera",1,the-phantom-of-the-opera
8858,"The Platters",1,the-platters
8859,"The Police",52,the-police
8860,"The Pretenders",1,the-pretenders
8861,"The Prodigy",6,the-prodigy
8862,"The Progidy",1,the-progidy
8863,"The Pursuit",1,the-pursuit
8864,"The Ramones",1,the-ramones
8865,"The Rattles",6,the-rattles
8866,"The Real Thing",2,the-real-thing
8867,"The Rembrandts",1,the-rembrandts
8868,"The Ring Of Fire",1,the-ring-of-fire
8869,"The Ritche Family",1,the-ritche-family
8870,"The Road To Hell",1,the-road-to-hell
8871,"The Rock",1,the-rock
8872,"The Rock Steady Crew",1,the-rock-steady-crew
8873,"The Rocking Dildos",15,the-rocking-dildos
8874,"The Rocky Horror Picture Show",8,the-rocky-horror-picture-show
8875,"The Rocky Horror Show",4,the-rocky-horror-show
8876,"The Rolling Stones",1,the-rolling-stones
8877,"The Romantics",1,the-romantics
8878,"The Ronettes",1,the-ronettes
8879,"The Roots Feat. Erykah Badu",3,the-roots-feat-erykah-badu
8880,"The Rotation",1,the-rotation
8881,"The Samples",56,the-samples
8882,"The Sandpipers",1,the-sandpipers
8883,"The Scorpions",1,the-scorpions
8885,"The Shacklefords",1,the-shacklefords
8886,"The Shadows",1,the-shadows
8887,"The Shangri-las",1,the-shangri-las
8888,"The Shirelles",1,the-shirelles
8889,"The Shorts",2,the-shorts
8890,"The Sisters Of Mercy",16,the-sisters-of-mercy
8891,"The Smashing Pumpkins",14,the-smashing-pumpkins
8892,"The Smiths",15,the-smiths
8893,"The Sparks",1,the-sparks
8894,"The Spinners",1,the-spinners
8895,"The Steam And Jeronimo",1,the-steam-and-jeronimo
8896,"The Steve Miller Band",1,the-steve-miller-band
8897,"The Stranglers",4,the-stranglers
8898,"The Stylistics",3,the-stylistics
8899,"The Supertroupers",1,the-supertroupers
8900,"The Surfers",1,the-surfers
8901,"The Sweet",9,the-sweet
8902,"The Symbol",1,the-symbol
8903,"The Tamperer Feat. Maya",2,the-tamperer-feat-maya
8904,"The Teens",6,the-teens
8905,"The Temptations",2,the-temptations
8906,"The The",32,the-the
8907,"The Three Degrees",3,the-three-degrees
8908,"The Tokens",1,the-tokens
8909,"The Traveling Wilburys",3,the-traveling-wilburys
8910,"The Tremeloes",1,the-tremeloes
8911,"The Tremoloes",7,the-tremoloes
8912,"The Trendsetters",1,the-trendsetters
8913,"The Troggs",1,the-troggs
8914,"The Twins",3,the-twins
8915,"The Unoutspeakables",1,the-unoutspeakables
8916,"the used",10,the-used
8917,"The Vapors",1,the-vapors
8918,"The Verve",4,the-verve
8919,"The Walker Brothers",1,the-walker-brothers
8920,"The Wallflowers",36,the-wallflowers
8921,"The Way",1,the-way
8922,"The Weather Girls",2,the-weather-girls
8923,"The Whispers",1,the-whispers
8924,"The Who",50,the-who
8925,"The Windows",2,the-windows
8926,"The Wombles",2,the-wombles
8927,"The Wonders",1,the-wonders
8928,"Theatre Of Ice",12,theatre-of-ice
8929,"Theatre Of Tragedy",37,theatre-of-tragedy
8930,"Thelma Houston",1,thelma-houston
8931,Them,1,them
8932,"Theme Song",1,theme-song
8933,"Then Jerico",1,then-jerico
8934,Therapy,35,therapy
8935,Therapy',1,therapy-2
8936,Thergothon,4,thergothon
8937,Therion,79,therion
8938,"They Might Be Giants",109,they-might-be-giants
8939,"Thin Lizzy",52,thin-lizzy
8940,"Think About Mutation",8,think-about-mutation
8941,"Think Tree",1,think-tree
8942,Thinkman,15,thinkman
8943,"Third Day",23,third-day
8944,"Third Eye Blind",49,third-eye-blind
8945,"Third Moon",8,third-moon
8946,Thirdmoon,16,thirdmoon
8947,"This Ascension",8,this-ascension
8948,"This Mortal Coil",16,this-mortal-coil
8949,"Thomas Aiterwegmair",1,thomas-aiterwegmair
8950,"Thomas D",2,thomas-d-2
8951,"Thomas D And Franka Potente",1,thomas-d-and-franka-potente
8952,"Thomas D.",3,thomas-d
8953,"Thomas D. Feat. Die andauml;rzte",1,thomas-d-feat-die-andauml-rzte
8954,"Thomas Dolby",1,thomas-dolby
8955,"Thomas Fritsch",1,thomas-fritsch
8956,"Thomas L.",1,thomas-l
8957,"Thomas Lola",6,thomas-lola
8958,"Thomas Ray",18,thomas-ray
8959,"Thomas Rufus",1,thomas-rufus
8960,"Thomas Strasser",1,thomas-strasser
8961,"Thomas Timmy",1,thomas-timmy
8962,"Thompson Richard",44,thompson-richard
8963,"Thompson Richard Linda",7,thompson-richard-linda
8964,"Thompson Sue",5,thompson-sue
8965,"Thompson Twins",7,thompson-twins
8966,"Thorn Tracey",1,thorn-tracey
8967,"Thorogood George",1,thorogood-george
8968,"Thou Art Lord",6,thou-art-lord
8969,"Three 6 Mafia",12,three-6-mafia
8970,"Three Degrees",1,three-degrees
8971,"Three Dog Night",15,three-dog-night
8972,"Three Lights",1,three-lights
8973,Threnody,29,threnody
8974,"Throbbing Gristle",6,throbbing-gristle
8975,"Throne Of Ahaz",12,throne-of-ahaz
8976,"Throwing Muses",85,throwing-muses
8977,"Thum Pam",1,thum-pam
8978,Thunder,10,thunder
8979,"Thunderclap Newman",1,thunderclap-newman
8980,Thunderhawk,1,thunderhawk
8981,Thursday,12,thursday
8982,"Thy Repentance",3,thy-repentance
8983,"Thy Serpent",8,thy-serpent
8984,Thyrfing,10,thyrfing
8985,Tiamat,57,tiamat
8986,"Tic Tac Toe",30,tic-tac-toe
8987,"Tic Tac Toe   Sara @",1,tic-tac-toe-sara
8988,"Tiemx Social Club",1,tiemx-social-club
8989,Tiffany,26,tiffany
8990,"Tigh Fight",2,tigh-fight
8991,"Tikaram Tanita",56,tikaram-tanita
8992,"Til Tuesday",2,til-tuesday
8993,"Till And Obel",9,till-and-obel
8994,"Tillis Pam",9,tillis-pam
8995,"Tillotson Johnny",3,tillotson-johnny
8996,Tilt,44,tilt
8997,"Tim Curry",1,tim-curry
8998,"Tim Mcgraw",79,tim-mcgraw
8999,"Tim Reckmann",4,tim-reckmann
9000,Timbaland,2,timbaland
9001,"Timbaland &amp; Magoo",35,timbaland-amp-magoo
9002,"Timbaland And Magoo",3,timbaland-and-magoo
9003,"Time Bandits",1,time-bandits
9004,"Timm Peka And Cortina",1,timm-peka-and-cortina
9005,"Timmy T",1,timmy-t-2
9006,"Timmy T.",1,timmy-t
9007,Timoria,41,timoria
9008,"Timpuri Noi",1,timpuri-noi
9009,"Tin Machine",11,tin-machine
9010,Tina,2,tina
9011,"Tina And Ike Turner",1,tina-and-ike-turner
9012,"Tina Arena",72,tina-arena
9013,"Tina Arena  Marc Anthony",1,tina-arena-marc-anthony
9014,"Tina Arena And Marc Anthony",1,tina-arena-and-marc-anthony
9015,"Tina Charles",4,tina-charles
9016,"Tina Rainford",4,tina-rainford
9017,"Tina Turner",82,tina-turner
9018,"Tina Turner And David Bowie",1,tina-turner-and-david-bowie
9019,"Tina Turner And Rod Stewart",1,tina-turner-and-rod-stewart
9020,"Tina York",5,tina-york
9021,"Tiny Hat Orchestra",1,tiny-hat-orchestra
9022,"Tippin Aaron",12,tippin-aaron
9023,"Tiro De Gracia",14,tiro-de-gracia
9024,"Tiroler Echo",2,tiroler-echo
9025,"Tiroler Herzensbrecher",1,tiroler-herzensbrecher
9026,Tism,7,tism
9027,"Tisner Buam And Marita",1,tisner-buam-and-marita
9028,"Titan Force",15,titan-force
9029,Titanic,6,titanic
9030,Titas,110,titas
9031,Titiyo,1,titiyo
9032,"Tito And Tarantula",1,tito-and-tarantula
9033,TitoAndtarantula,1,titoandtarantula
9034,Tj,1,tj
9035,"Tj Dracula Shivas",8,tj-dracula-shivas
9036,TLC,66,tlc
9037,"Tls Chorus",1,tls-chorus
9038,"Tnt Experience",2,tnt-experience
9039,Toad,1,toad
9040,"Toad The Wet Sprocket",50,toad-the-wet-sprocket
9041,Toadies,7,toadies
9042,Tobsucht,1,tobsucht
9043,"Toby Keith",50,toby-keith
9044,Tocotronic,84,tocotronic
9045,"Todd Anthony",1,todd-anthony
9046,"Todd Rundgren",49,todd-rundgren
9047,"Toe To Toe",1,toe-to-toe
9048,Tokens,1,tokens
9049,"Tolkki Timo",1,tolkki-timo
9050,"Toller Paula",1,toller-paula
9051,"Tom Angelripper",14,tom-angelripper
9052,"Tom Angelripper And Onkel Tom",5,tom-angelripper-and-onkel-tom
9053,"Tom Astor",17,tom-astor
9054,"Tom Cochran",1,tom-cochran
9055,"Tom Hagen",1,tom-hagen
9056,"Tom Johnston",1,tom-johnston
9057,"Tom Jones",29,tom-jones
9058,"Tom Jones And Mousse T.",1,tom-jones-and-mousse-t
9059,"Tom Jones And Stereophonics",1,tom-jones-and-stereophonics
9060,"Tom Lehrer",2,tom-lehrer
9061,"Tom Mcrae",1,tom-mcrae
9062,"Tom Petty",56,tom-petty
9063,"Tom Petty And The Heartbreakers",21,tom-petty-and-the-heartbreakers
9064,"Tom T. Hall",48,tom-t-hall
9065,"Tom Waits",4,tom-waits
9066,"Tomlinson Michael",51,tomlinson-michael
9067,Tommi,1,tommi
9068,"Tommy 16",1,tommy-16
9069,"Tommy James And The Shondells",6,tommy-james-and-the-shondells
9070,"Tommy Ohrner",1,tommy-ohrner
9071,"Tommy Piper",1,tommy-piper
