Artist URI|Artist Name|Album URI
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|3eoOCfVXFcnXCJZQfoG1kO
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|3o6Uoo7mQRqcZ9f7mmySj9
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|1NSz5f3qGE9pVlhmOg1OVA
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|7hlOSY9vVMR86LLbNj53Ku
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|27YWbegMxmgjNQacUhWXUP
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|5WOJPv6Wq6tfIFGsgHORBm
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|7uBpd9F3n28xZV5ESXy2Es
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|7tM6eh5MP8JYhYIpak27yE
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|71nu7L4kzVXHTw3UrkvPbi
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|65CWgMU7h3hsD2EMa5cACr
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|5TjuZQvkvNoepWAPFVTIps
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|2SSzVGlFk1lqj0QtUvodZA
1YEGETLT2p8k97LIo3deHL|Crash Test Dummies|6MEFBcD0a87GMYiHW3VsVI
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|08RPTkpEpX8zDEX8rQYGRJ
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|2qXG4R3vcMfJCBLsIVJQfU
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|4cwBQXCEUb6FLx3KLqtkDm
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|7hpM9BfcKCo3jgPeX86svr
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|6OW3lBYbofMrPxK8INLXtH
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|2uuT8MI08eYlzidmmnRJ5k
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|4UQ1clovCSPWfkOLeDFfff
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|5r7Av7vM6g7mEQmB0WMfO4
6LTnvdWwpOFwGtVIOrhwZb|Down To The Bone|1Y6ygICUc93DKWbzAEcx46
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|26uB4bsQrnJwc03YC6duFW
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|2ntrA9zaxFlkTsQ7228LnV
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|3H5lzd4ss0h60zNSOctdT6
65ewrL6LvcNGMMRVlksNGS|Dum Dum Girls|6ySCt5f7nOzIxI0E3vFLVD
